"","ID","CLASS","GROUP","OBSTIME","OBSTIMESECS","TOTAL_PLAY","IM.IM.TOT","ADULT.IMMATURE","MIXED","X.PLAYTOTAL","X.IMMATUREPLAY","X.IMMATURE.ADULT.PLAY","X.MIXED.PLAY"
"1","Ar","I","SN",277.9166667,1000500,2858,912,761,1185,0.29,0.09,0.08,0.12
"2","Bg","I","CP",145.0666532,522239.9517,19881,10829,513,8539,3.81,2.07,0.1,1.64
"3","Co","I","CP",145.0666532,522239.9517,17070,9074,1851,6145,3.27,1.74,0.35,1.18
"4","Ds","J","CP",145.0666532,522239.9517,17660,9766,1903,5991,3.38,1.87,0.36,1.15
"5","Fl","J","CH",273.6666667,985200,12538,650,7401,4487,1.27,0.07,0.75,0.46
"6","Ll","I","CH",273.6666667,985200,10306,8040,1697,569,1.05,0.82,0.17,0.06
"7","Lu","J","CH",273.6666667,985200,13960,650,8284,5026,1.42,0.07,0.84,0.51
"8","Pp","I","CP",145.0666532,522239.9517,7256,4844,64,2348,1.39,0.93,0.01,0.45
"9","Vv","J","SN",277.9166667,1000500,13649,912,10058,2679,1.36,0.09,1.01,0.27
"10","ame","I","AGA",NA,416800,770,290,480,0,0.18,NA,NA,NA
"11","ams","I","AGA",NA,416800,5030,2150,2880,0,1.21,NA,NA,NA
"12","amt","I","AGA",NA,416800,1020,0,420,600,0.24,NA,NA,NA
"13","anr","I","AGA",NA,108800,120,0,0,120,0.11,NA,NA,NA
"14","cht","I","AGA",NA,187200,1260,600,600,60,0.67,NA,NA,NA
"15","nnv","J","AGA",NA,496800,19925,7619,11596,710,4.01,NA,NA,NA
"16","rby","J","AGA",NA,303300,8340,2950,4380,1010,2.75,NA,NA,NA
"17","rds","J","AGA",NA,612000,14247,10810,2297,1140,2.33,NA,NA,NA
"18","rme","I","AGA",NA,612000,735,595,140,0,0.12,NA,NA,NA
"19","romm","I","AGA",NA,612000,7920,0,2860,5060,1.29,NA,NA,NA
"20","rss","I","AGA",NA,208800,5485,1985,2180,1320,2.63,NA,NA,NA
"21","rxy","I","AGA",NA,208800,4590,4020,570,0,2.2,NA,NA,NA
"22","sfd","J","AGA",NA,212400,2350,1170,1060,120,1.11,NA,NA,NA
"23","vco","I","AGA",NA,187200,180,60,120,0,0.1,NA,NA,NA
"24","vlz","J","AGA",NA,198000,1010,410,600,0,0.51,NA,NA,NA
"25","rok","J","PLA",NA,1080000,37578,NA,NA,NA,3.48,NA,NA,NA
"26","bat","I","PLA",NA,1080000,36765,NA,NA,NA,3.4,NA,NA,NA
"27","lur","I","PLA",NA,1080000,29062,NA,NA,NA,2.69,NA,NA,NA
"28","vir","I","LIZ",NA,1080000,6496,NA,NA,NA,0.6,NA,NA,NA
"29","amp","A","AGA",NA,118800,2043,NA,NA,NA,1.72,NA,NA,NA
"30","amr","A","AGA",NA,496800,12705,NA,NA,NA,2.56,NA,NA,NA
"31","azt","SA","AGA",NA,331200,3990,NA,NA,NA,1.2,NA,NA,NA
"32","cha","A","AGA",NA,136800,1770,NA,NA,NA,1.29,NA,NA,NA
"33","chu","A","AGA",NA,176040,725,NA,NA,NA,0.41,NA,NA,NA
"34","cri","A","AGA",NA,75600,360,NA,NA,NA,0.48,NA,NA,NA
"35","nfa","A","AGA",NA,421200,1845,NA,NA,NA,0.44,NA,NA,NA
"36","nin","A","AGA",NA,496800,2250,NA,NA,NA,0.45,NA,NA,NA
"37","nio","A","AGA",NA,165600,665,NA,NA,NA,0.4,NA,NA,NA
"38","niy","A","AGA",NA,252000,1400,NA,NA,NA,0.56,NA,NA,NA
"39","pic","A","AGA",NA,338400,677,NA,NA,NA,0.2,NA,NA,NA
"40","pin","A","AGA",NA,342000,3383,NA,NA,NA,0.99,NA,NA,NA
"41","pir","A","AGA",NA,288000,2515,NA,NA,NA,0.87,NA,NA,NA
"42","rbt","A","AGA",NA,313200,2625,NA,NA,NA,0.84,NA,NA,NA
"43","rod","A","AGA",NA,303300,1310,NA,NA,NA,0.43,NA,NA,NA
"44","roj","A","AGA",NA,511200,2130,NA,NA,NA,0.42,NA,NA,NA
"45","romana","SA","AGA",NA,612000,7920,NA,NA,NA,1.29,NA,NA,NA
"46","rxa","A","AGA",NA,208800,2655,NA,NA,NA,1.27,NA,NA,NA
"47","sal","A","AGA",NA,212400,2790,NA,NA,NA,1.31,NA,NA,NA
"48","sbs","A","AGA",NA,374400,530,NA,NA,NA,0.14,NA,NA,NA
"49","sep","A","AGA",NA,136800,2580,NA,NA,NA,1.89,NA,NA,NA
"50","stg","A","AGA",NA,378000,1615,NA,NA,NA,0.43,NA,NA,NA
"51","vci","A","AGA",NA,324000,1550,NA,NA,NA,0.48,NA,NA,NA
"52","ven","A","AGA",NA,187200,2425,NA,NA,NA,1.3,NA,NA,NA
"53","ver","A","AGA",NA,198000,4200,NA,NA,NA,2.12,NA,NA,NA
"54","Ch","A","CH",NA,984960,6850,NA,NA,NA,0.7,NA,NA,NA
"55","Cp","A","CH",NA,984960,10448,NA,NA,NA,1.06,NA,NA,NA
"56","ev","A","CH",NA,984960,3430,NA,NA,NA,0.35,NA,NA,NA
"57","Fd","A","CH",NA,984960,1426,NA,NA,NA,0.14,NA,NA,NA
"58","Lc","A","CH",NA,984960,1663,NA,NA,NA,0.17,NA,NA,NA
"59","Li","A","CH",NA,984960,578,NA,NA,NA,0.06,NA,NA,NA
"60","Ln","A","CH",NA,984960,0,NA,NA,NA,0,NA,NA,NA
"61","ls","A","CH",NA,984960,3804,NA,NA,NA,0.39,NA,NA,NA
"62","Rs","A","CH",NA,984960,617,NA,NA,NA,0.06,NA,NA,NA
"63","Sv","A","CH",NA,984960,790,NA,NA,NA,0.08,NA,NA,NA
"64","Bl","A","CP",NA,746100,354,NA,NA,NA,0.05,NA,NA,NA
"65","Cl","SA","CP",NA,746100,4555,NA,NA,NA,0.61,NA,NA,NA
"66","Cr","A","CP",NA,746100,1283,NA,NA,NA,0.17,NA,NA,NA
"67","Do","A","CP",NA,746100,1123,NA,NA,NA,0.15,NA,NA,NA
"68","Dr","SA","CP",NA,746100,1153,NA,NA,NA,0.15,NA,NA,NA
"69","El","A","CP",NA,746100,3040,NA,NA,NA,0.41,NA,NA,NA
"70","Gt","A","CP",NA,746100,1741,NA,NA,NA,0.23,NA,NA,NA
"71","Pl","A","CP",NA,746100,944,NA,NA,NA,0.13,NA,NA,NA
"72","Yz","A","CP",NA,746100,992,NA,NA,NA,0.13,NA,NA,NA
"73","Gu","A","SE",NA,394200,1483,NA,NA,NA,0.38,NA,NA,NA
"74","Hd","A","SE",NA,394200,4454,NA,NA,NA,1.13,NA,NA,NA
"75","Or","A","SE",NA,394200,1980,NA,NA,NA,0.5,NA,NA,NA
"76","Up","A","SE",NA,394200,4398,NA,NA,NA,1.12,NA,NA,NA
"77","At","A","SN",NA,1000440,2214,NA,NA,NA,0.22,NA,NA,NA
"78","Mi","A","SN",NA,1000440,7161,NA,NA,NA,0.72,NA,NA,NA
"79","Vn","A","SN",NA,1000440,2989,NA,NA,NA,0.3,NA,NA,NA
"80","Vs","SA","SN",NA,1000440,9558,NA,NA,NA,0.96,NA,NA,NA
"81","Ze","A","SN",NA,1000440,3939,NA,NA,NA,0.39,NA,NA,NA
"82","an","A","LIZ",NA,1000440,7880,NA,NA,NA,0.79,NA,NA,NA
"83","ch","A","LIZ",NA,1000440,2855,NA,NA,NA,0.29,NA,NA,NA
"84","el","A","LIZ",NA,1000440,7185,NA,NA,NA,0.72,NA,NA,NA
"85","li","A","LIZ",NA,1000440,1935,NA,NA,NA,0.19,NA,NA,NA
"86","so","A","LIZ",NA,1000440,3360,NA,NA,NA,0.34,NA,NA,NA
"87","do","A","PLA",NA,1000440,3420,NA,NA,NA,0.34,NA,NA,NA
"88","lt","A","PLA",NA,1000440,2255,NA,NA,NA,0.23,NA,NA,NA
"89","ma","A","PLA",NA,1000440,10000,NA,NA,NA,1,NA,NA,NA
"90","mi","A","PLA",NA,1000440,12435,NA,NA,NA,1.24,NA,NA,NA
