ID,SEX,SITE,Subsp,HABITAT,AREA,DENS,GR,FEM,MAL,IMM,%FE,%TR,%RE,%PLAY,OBSHR,PLAYSEC,OBSSEC,IM.RATIO,NOPLAYSECS,ad_ad_play,ad_im_play,mix_play,non_ad_ad_play,non_ad_im_play,non_mix_play
amp,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,14,5,4,0.044835,0.07,0.71,1.71969697,33,2043,118800,0.210526316,116757,1383,240,420,117417,118560,118380
amr,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,6,5,0.061915,0.29,0.42,2.55736715,138,12705,496800,0.277777778,484095,1310,9775,1620,495490,487025,495180
azt,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,6,5,0.07259,0.22,0.44,1.204710145,92,3990,331200,0.277777778,327210,2390,1250,350,328810,329950,330850
cha,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,13,7,5,0.049105,0.16,0.6,1.293859649,38,1770,136800,0.25,135030,1480,40,250,135320,136760,136550
chu,m,AGA,mexicana,SEMIDEC,8.3,9.5,20,12,5,5,0.061915,0.09,0.63,0.411838219,48.9,725,176040,0.294117647,175315,335,390,0,175705,175650,176040
cri,m,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,8,5,0.05978,0.12,0.59,0.476190476,21,360,75600,0.25,75240,360,0,0,75240,75600,75600
nfa,m,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,6,5,0.044835,0.12,0.67,0.438034188,117,1845,421200,0.277777778,419355,1125,510,210,420075,420690,420990
nin,f,AGA,mexicana,SEMIDEC,8.3,9.5,23,12,5,5,0.03843,0.13,0.69,0.452898551,138,2250,496800,0.294117647,494550,1240,530,480,495560,496270,496320
nio,m,AGA,mexicana,SEMIDEC,8.3,9.5,25,12,7,7,0.14945,0.06,0.24,0.401570048,46,665,165600,0.368421053,164935,645,20,0,164955,165580,165600
niy,m,AGA,mexicana,SEMIDEC,8.3,9.5,20,12,6,5,0.057645,0.04,0.69,0.555555556,70,1400,252000,0.277777778,250600,1340,60,0,250660,251940,252000
pic,m,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,6,6,0.07686,0.03,0.61,0.200059102,94,677,338400,0.333333333,337723,521,156,0,337879,338244,338400
pin,m,AGA,mexicana,SEMIDEC,8.3,9.5,23,12,6,5,0.03416,0.09,0.75,0.989181287,95,3383,342000,0.277777778,338617,1750,1633,0,340250,340367,342000
pir,m,AGA,mexicana,SEMIDEC,8.3,9.5,22,12,6,5,0.006405,0.02,0.95,0.873263889,80,2515,288000,0.277777778,285485,870,175,1470,287130,287825,286530
rbt,m,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,6,5,0.03416,0.14,0.7,0.838122605,87,2625,313200,0.277777778,310575,1875,180,570,311325,313020,312630
rod,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,5,6,0.04697,0.07,0.71,0.431915595,84.25,1310,303300,0.352941176,301990,1210,100,0,302090,303200,303300
roj,f,AGA,mexicana,SEMIDEC,8.3,9.5,19,12,5,5,0.061915,0.11,0.6,0.416666667,142,2130,511200,0.294117647,509070,830,1120,180,510370,510080,511020
rom,f,AGA,mexicana,SEMIDEC,8.3,9.5,23,12,5,5,0.053375,0.3,0.45,1.294117647,170,7920,612000,0.294117647,604080,4010,2860,1050,607990,609140,610950
rxa,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,13,4,5,0.044835,0.25,0.53,1.271551724,58,2655,208800,0.294117647,206145,2160,225,270,206640,208575,208530
sal,f,AGA,mexicana,SEMIDEC,8.3,9.5,24,13,5,5,0.05124,0.17,0.6,1.313559322,59,2790,212400,0.277777778,209610,1280,1510,0,211120,210890,212400
sbs,m,AGA,mexicana,SEMIDEC,8.3,9.5,23,12,6,5,0.061915,0.03,0.68,0.141559829,104,530,374400,0.277777778,373870,500,30,0,373900,374370,374400
sep,f,AGA,mexicana,SEMIDEC,8.3,9.5,23,13,7,5,0.044835,0.07,0.71,1.885964912,38,2580,136800,0.25,134220,2050,230,300,134750,136570,136500
stg,m,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,6,6,0.0854,0.22,0.38,0.427248677,105,1615,378000,0.333333333,376385,1150,465,0,376850,377535,378000
vci,m,AGA,mexicana,SEMIDEC,8.3,9.5,24,12,7,6,0.07259,0.11,0.55,0.478395062,90,1550,324000,0.315789474,322450,1056,540,0,322944,323460,324000
ven,f,AGA,mexicana,SEMIDEC,8.3,9.5,23,12,7,5,0.091805,0.1,0.48,1.295405983,52,2425,187200,0.263157895,184775,1815,160,450,185385,187040,186750
ver,f,AGA,mexicana,SEMIDEC,8.3,9.5,21,12,5,5,0.083265,0.1,0.47,2.121212121,55,4200,198000,0.294117647,193800,1930,0,2270,196070,198000,195730
Ch,m,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.307322125,273.6,3027,984960,0.3,981933,1943,84,1000,983017,984876,983960
Cp,m,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.15056449,273.6,1483,984960,0.3,983477,1067,191,225,983893,984769,984735
ev,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.956180962,273.6,9418,984960,0.3,975542,3971,2756,2691,980989,982204,982269
Fd,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.431185023,273.6,4247,984960,0.3,980713,2247,835,1165,982713,984125,983795
Lc,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.78693551,273.6,7751,984960,0.3,977209,4265,1592,1894,980695,983368,983066
Li,m,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,1.131518031,273.6,11145,984960,0.3,973815,1684,8685,776,983276,976275,984184
Ln,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.180108837,273.6,1774,984960,0.3,983186,1575,0,199,983385,984960,984761
ls,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.821962313,273.6,8096,984960,0.3,976864,3700,2486,1910,981260,982474,983050
Rs,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.421032326,273.6,4147,984960,0.3,980813,3772,178,197,981188,984782,984763
Sv,f,CH,palliata,DRY,10800,0.079,13,7,3,3,0.1433,0.11,0.7,0.289250325,273.6,2849,984960,0.3,982111,1904,282,663,983056,984678,984297
Bl,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.132421927,207.25,988,746100,0.444444444,745112,565,363,60,745535,745737,746040
Cl,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.504221954,207.25,3762,746100,0.444444444,742338,1546,2068,148,744554,744032,745952
Cr,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.181879105,207.25,1357,746100,0.444444444,744743,945,152,260,745155,745948,745840
Do,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.213242193,207.25,1591,746100,0.444444444,744509,825,609,157,745275,745491,745943
Dr,m,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.145288835,207.25,1084,746100,0.444444444,745016,691,393,0,745409,745707,746100
El,m,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.522316043,207.25,3897,746100,0.444444444,742203,3873,24,0,742227,746076,746100
Gt,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.213644284,207.25,1594,746100,0.444444444,744506,1534,0,60,744566,746100,746040
Pl,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.094759416,207.25,707,746100,0.444444444,745393,602,0,105,745498,746100,745995
Yz,f,CP,palliata,DRY,10800,0.079,13,7,2,4,0.1873,0.1,0.61,0.421927356,207.25,3148,746100,0.444444444,742952,2876,65,207,743224,746035,745893
an,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.089444444,0.743888889,0.72962963,300,7880,1080000,0.2,1072120,5652,625,1603,1074348,1079375,1078397
ch,m,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.063888889,0.744444444,0.264351852,300,2855,1080000,0.2,1077145,2110,0,745,1077890,1080000,1079255
el,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.061833333,0.707,0.665277778,300,7185,1080000,0.2,1072815,5027,830,1328,1074973,1079170,1078672
li,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.062,0.692,0.179166667,300,1935,1080000,0.2,1078065,642,0,1293,1079358,1080000,1078707
so,f,LIZ,mexicana,RAIN,1.3,4.6,6,4,1,1,0.123,0.033333333,0.605555556,0.311111111,300,3360,1080000,0.2,1076640,2750,0,610,1077250,1080000,1079390
do,m,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.067333333,0.722666667,0.316666667,300,3420,1080000,0.75,1076580,150,1969,1310,1079850,1078031,1078690
lt,m,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.095625,0.621666667,0.208796296,300,2255,1080000,0.75,1077745,60,1970,225,1079940,1078030,1079775
ma,f,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.121,0.500666667,0.925925926,300,10000,1080000,0.75,1070000,235,5560,4205,1079765,1074440,1075795
mi,f,PLA,mexicana,RAIN,56,0.48,7,2,2,3,0.0619,0.084761905,0.618095238,1.151388889,300,12435,1080000,0.75,1067565,235,8155,4045,1079765,1071845,1075955
Gu,m,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.136732623,109.5,539,394200,0,393661,539,0,0,393661,394200,394200
Hd,f,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.253678336,109.5,1000,394200,0,393200,1000,0,0,393200,394200,394200
Or,f,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.156519533,109.5,617,394200,0,393583,617,0,0,393583,394200,394200
Up,f,SE,palliata,DRY,10800,0.079,5,3,1,1,0.043,0.04,0.82,0.241755454,109.5,953,394200,0,393247,953,0,0,393247,394200,394200
At,f,SN,palliata,DRY,10800,0.079,7,4,1,2,0.077,0.11,0.69,0.140238295,277.9,1403,1000440,0.4,999037,812,360,231,999628,1000080,1000209
Mi,f,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,0.097357163,277.9,974,1000440,0.5,999466,639,166,169,999801,1000274,1000271
Vn,f,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,0.430010795,277.9,4302,1000440,0.5,996138,720,2126,1456,999720,998314,998984
Vs,f,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,1.029846867,277.9,10303,1000440,0.5,990137,700,8088,1515,999740,992352,998925
Ze,m,SN,palliata,DRY,10800,0.079,7,3,1,2,0.077,0.11,0.69,0.064771501,277.9,648,1000440,0.5,999792,445,49,154,999995,1000391,1000286